Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Phoenix Suns,64-18,32-9,32-9,25-May,39-13,8-Feb,9-Jan,8-Feb,14-Apr,10-Jun,15-Mar,48-10,16-Aug,6-Feb,37-9,2-Mar,16-0,9-May,13-Jan,9-Mar,13-Feb,2-Apr
2,Memphis Grizzlies,56-26,30-Nov,26-15,20-Oct,36-16,6-Apr,9-Jan,5-May,10-Aug,15-Mar,11-May,41-19,15-Jul,5-Mar,33-17,3-Mar,8-Jul,12-Apr,12-Apr,8-Feb,11-Mar,2-Mar
3,Golden State Warriors,53-29,31-Oct,22-19,20-Oct,33-19,6-Apr,8-Feb,6-Apr,12-Jun,12-Apr,9-Sep,42-17,11-Dec,6-May,34-10,5-Jan,13-Feb,9-Apr,11-Jun,5-May,5-Nov,5-0
4,Miami Heat,53-29,29-Dec,24-17,35-17,18-Dec,10-Aug,12-Jun,13-Mar,6-Apr,4-Jun,8-Feb,38-21,15-Aug,3-Jun,31-15,5-Jan,8-Jul,10-May,9-Jun,9-Feb,8-Jul,4-Jan
5,Dallas Mavericks,52-30,29-Dec,23-18,16-14,36-16,6-Apr,6-Apr,4-Jun,12-Jun,10-Aug,14-Feb,35-24,17-Jun,7-May,27-14,4-Feb,6-Jul,7-Sep,12-Apr,7-Mar,12-Apr,4-Jan
6,Boston Celtics,51-31,28-13,23-18,33-19,18-Dec,9-Jul,12-Jun,12-Jun,7-Mar,5-May,6-Apr,34-26,17-May,3-Sep,35-9,2-Apr,9-Jun,6-Sep,10-Jun,9-Feb,11-Mar,4-Jan
7,Milwaukee Bucks,51-31,27-14,24-17,33-19,18-Dec,10-Aug,12-Apr,11-Jul,5-May,7-Mar,6-Apr,36-24,15-Jul,4-Feb,31-15,3-Apr,10-Apr,11-May,7-Aug,6-Apr,11-Mar,3-Mar
8,Philadelphia 76ers,51-31,24-17,27-14,32-20,19-Nov,6-Oct,14-Apr,12-Jun,5-May,6-Apr,8-Feb,35-23,16-Aug,6-Jun,28-Nov,4-Feb,7-Aug,8-Jun,12-Mar,6-Apr,9-Jul,5-Jan
9,Utah Jazz,49-33,29-Dec,20-21,16-14,33-19,7-Mar,4-Jun,5-May,15-Jan,9-Sep,9-Sep,36-22,13-Nov,1-Jun,34-10,5-Jan,9-Jun,12-Feb,4-Dec,8-Jan,8-Sep,3-Feb
10,Denver Nuggets,48-34,23-18,25-16,19-Nov,29-23,6-Apr,5-May,8-Feb,6-Oct,13-May,10-Aug,33-25,15-Sep,8-Mar,23-20,4-Feb,6-Aug,7-Jun,11-May,8-Apr,10-Jun,2-Mar
11,Toronto Raptors,48-34,24-17,24-17,30-22,18-Dec,10-Jun,8-Oct,12-Jun,5-May,7-Mar,6-Apr,32-25,16-Sep,7-Jun,25-14,4-Mar,5-Oct,6-Apr,10-Jun,8-Apr,11-May,4-Feb
12,Chicago Bulls,46-36,27-14,19-22,29-23,17-13,8-Oct,10-Jun,11-Jul,8-Feb,5-May,4-Jun,38-21,1-Aug,4-Apr,23-20,5-Jan,9-Jul,9-Feb,8-Aug,8-May,6-Sep,1-Apr
13,Minnesota Timberwolves,46-36,26-15,20-21,14-16,32-20,4-Jun,7-Mar,3-Jul,12-Apr,8-Oct,12-Jun,31-28,15-Aug,4-Apr,28-21,3-Feb,8-Aug,5-Sep,9-Jun,8-Apr,10-May,3-Feb
14,Brooklyn Nets,44-38,20-21,24-17,31-21,13-17,10-Jun,12-Jun,9-Sep,4-Jun,3-Jul,6-Apr,31-28,13-Oct,8-Apr,20-20,4-Mar,11-Mar,8-Apr,6-Oct,3-Oct,8-Jul,4-Jan
15,Cleveland Cavaliers,44-38,25-16,19-22,27-25,17-13,8-Oct,10-Jun,9-Sep,8-Feb,4-Jun,5-May,35-23,1-Sep,10-Apr,22-19,3-Apr,8-Jun,9-Jun,11-Apr,5-May,6-Oct,2-Mar
16,Atlanta Hawks,43-39,27-14,16-25,26-26,17-13,6-Dec,11-Jul,9-Jul,5-May,6-Apr,6-Apr,28-30,15-Sep,7-Mar,24-18,3-Mar,8-Jul,5-Sep,8-Jul,5-May,11-Jun,3-Feb
17,Charlotte Hornets,43-39,22-19,21-20,27-25,16-14,8-Oct,11-Jul,8-Aug,6-Apr,3-Jul,7-Mar,29-31,14-Aug,6-Aug,24-23,5-Feb,8-Aug,6-Jul,9-Jun,2-Oct,10-Apr,3-Feb
18,Los Angeles Clippers,42-40,25-16,17-24,16-14,26-26,4-Jun,4-Jun,8-Feb,10-Aug,9-Jul,7-Nov,30-31,12-Sep,10-May,20-21,1-Apr,10-Jun,7-Aug,8-Sep,6-Apr,5-Sep,5-0
19,New York Knicks,37-45,17-24,20-21,22-30,15-15,5-Nov,8-Oct,9-Sep,2-Aug,6-Apr,7-Mar,25-34,12-Nov,5-Jun,19-23,5-Jan,6-Sep,6-Sep,7-Aug,1-Sep,9-Jul,3-Feb
20,New Orleans Pelicans,36-46,19-22,17-24,1-Nov,25-27,2-Aug,6-Apr,3-Jul,9-Sep,10-Aug,6-Oct,23-36,13-Oct,4-Mar,23-30,1-Jun,5-Nov,7-May,5-Oct,7-Apr,8-Jul,3-Mar
21,Washington Wizards,35-47,21-20,14-27,24-28,1-Nov,8-Oct,9-Sep,7-Sep,5-May,2-Aug,4-Jun,27-31,1-Aug,12-Jun,1-Nov,5-Jan,8-Jul,5-Sep,5-Sep,4-Jul,6-Oct,2-Apr
22,San Antonio Spurs,34-48,16-25,18-23,1-Oct,24-28,2-Aug,3-Jul,5-May,11-Jul,7-Nov,6-Oct,23-36,11-Dec,6-May,19-24,2-Apr,4-Sep,8-Jul,5-Dec,5-Jun,7-Jul,3-Mar
23,Los Angeles Lakers,33-49,21-20,1-Dec,15-15,18-34,4-Jun,5-May,6-Apr,8-Oct,1-Mar,7-Nov,27-31,1-Jun,5-Jul,13-22,4-Mar,8-Aug,6-Aug,6-Aug,3-Jun,4-Dec,2-Apr
24,Sacramento Kings,30-52,16-25,14-27,1-Oct,20-32,1-Sep,3-Jul,6-Apr,6-Dec,6-Oct,8-Oct,22-38,1-Aug,7-Aug,1-Nov,3-Mar,5-Nov,7-Aug,3-Dec,5-Jun,5-Sep,2-Mar
25,Portland Trail Blazers,27-55,17-24,1-Oct,16-14,1-Nov,6-Apr,5-May,5-May,1-Jan,1-May,1-May,25-34,1-Feb,1-May,1-Nov,3-Mar,8-Aug,2-Nov,8-Aug,4-Jun,1-Feb,0-6
26,Indiana Pacers,25-57,16-25,1-Sep,1-Nov,14-16,1-May,1-Feb,1-Apr,4-Jun,4-Jun,6-Apr,20-40,1-May,1-Mar,14-19,1-Jun,8-Aug,5-Aug,5-Nov,2-Sep,4-Oct,0-5
27,Oklahoma City Thunder,24-58,1-Dec,1-Dec,1-Jul,17-35,4-Jun,2-Aug,1-Sep,6-Oct,1-May,6-Dec,18-40,1-Jun,7-Jun,1-Sep,1-May,5-Sep,7-Aug,2-Dec,4-Aug,3-Dec,2-Apr
28,Detroit Pistons,23-59,13-28,1-Oct,18-34,1-May,1-May,6-Oct,7-Nov,2-Aug,1-Sep,2-Aug,13-45,1-Oct,7-Jun,1-Jun,1-May,3-Dec,1-Nov,7-Sep,3-Sep,6-Oct,2-Mar
29,Orlando Magic,22-60,1-Dec,1-Oct,1-Dec,1-Oct,1-Apr,1-May,1-Mar,6-Apr,1-Sep,3-Jul,13-47,1-Sep,2-Jul,1-Jun,1-Jun,3-Dec,3-Nov,4-Nov,4-Jul,5-Oct,2-Mar
30,Houston Rockets,20-62,1-Nov,1-Sep,1-Sep,1-Nov,1-Sep,3-Jul,5-May,6-Dec,1-Feb,1-Mar,15-43,1-May,3-Sep,1-Sep,1-May,3-Nov,6-Oct,4-Oct,1-Sep,5-Dec,0-5
